YOUTUBE油管新聞,#genre#
TVBS新聞,https://www.youtube.com/watch?v=m_dhMSvUCIc
東森新聞,https://www.youtube.com/live/V1p33hqPrUk?si=byEUmKUYKqQEFU0N

中天新聞,https://www.youtube.com/live/vr3XyVCR4T0?si=9quWZdOTvptvP-hO
三立新聞,https://www.youtube.com/live/MV9mI0GChwo?si=MhyFZd9z_E3aEoap

華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
寰宇新聞,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇台灣,https://www.youtube.com/watch?v=w87VGpgd90U
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
公視新聞,https://www.youtube.com/live/quwqlazU-c8?si=upEckq1Ddm39bu2T
新聞財經,#genre#
鏡電視新聞台,https://4gtvmobile-mozai.4gtv.tv/ytketAjYsjuueuDFkD8HXZ5jVGNdFkwOSSqWBtUrPlI%3d/index.m3u8?token=uVpcQAADxTlaofjY9N6-Ew&expires=1765044491&token1=EGgz8t8xd6in4FEeiUoJ0w&expires1=1765044491&refer=MjFiMzVkNjAtYjEzYi00MDRhLTk5NWUtYTE1ZjMzY2ZmNWRm&y=0
東森新聞台,https://4gtvmobile-mozai.4gtv.tv/ed5d-5qXT9rxR3-xh66qfqmv3AARlasxclB_ktahO2E%3d/index.m3u8?token=giD_x6Uz2Wdv0PFJbhVEbg&expires=1765044500&token1=8Gd688eEJn641UVXZQlt1A&expires1=1765044500&refer=NWVjZjViYmQtYzQ3NC00NWRjLWI5NzctN2IyMTc2NDhhYjc3&y=0
華視新聞,https://4gtvmobile-mozai.4gtv.tv/PwxAnZ0LU4BtRo-VhcUUaFu0q0LWCawG59bLvu6QOPo%3d/index.m3u8?token=-mpo9zHa07lHR-0zvV9qzw&expires=1765044509&token1=67WRPxUi6-LgzDc1dJ94Pg&expires1=1765044509&refer=ZGUxY2RiMDctNjlmZS00YmM4LWIyM2UtMzk1MjU3NDFmYzNm&y=0
